type,id,code,description,link1,link2,link3,link4,link5,link6,link7
KC,kc-cc,CC,Competencia ciudadana,,,,,,,
KC,kc-cd,CD,Competencia digital,,,,,,,
KC,kc-ce,CE,Competencia Emprendedora,,,,,,,
KC,kc-cpsaa,CPSAA,"Competencia Personal, Social y de Aprender a Aprender",,,,,,,
OD,od-cpsaa1,CPSAA1,"Regula y expresa sus emociones, fortaleciendo el optimismo, la resiliencia, la autoeficacia y la búsqueda de propósito y motivación hacia el aprendizaje, para gestionar los retos y cambios y armonizarlos con sus propios objetivos.",kc-cpsaa,,,,,,
OD,od-cpsaa3,CPSAA3,"Comprende proactivamente las perspectivas y las experiencias de las demás personas y las incorpora a su aprendizaje, para participar en el trabajo en grupo, distribuyendo y aceptando tareas y responsabilidades de manera equitativa y empleando estrategias cooperativas.",kc-cpsaa,,,,,,
OD,od-cpsaa4,CPSAA4,"Realiza autoevaluaciones sobre su proceso de aprendizaje, buscando fuentes fiables para validar, sustentar y contrastar la información y para obtener conclusiones relevantes.",kc-cpsaa,,,,,,
OD,od-cpsaa5,CPSAA5,[Pendiente: no definido en el Anexo I del Decreto 59/2022],kc-cpsaa,,,,,,
OD,od-cc1,CC1,"Analiza y comprende ideas relativas a la dimensión social y ciudadana de su propia identidad, así como a los hechos culturales, históricos y normativos que la determinan, demostrando respeto por las normas, empatía, equidad y espíritu constructivo en la interacción con los demás en cualquier contexto.",kc-cc,,,,,,
OD,od-ce2,CE2,"Evalúa las fortalezas y debilidades propias, haciendo uso de estrategias de autoconocimiento y autoeficacia, y comprende los elementos fundamentales de la economía y las finanzas, aplicando conocimientos económicos y financieros a actividades y situaciones concretas, utilizando destrezas que favorezcan el trabajo colaborativo y en equipo, para reunir y optimizar los recursos necesarios que lleven a la acción una experiencia emprendedora que genere valor.",kc-ce,,,,,,
OD,od-cc2,CC2,"Analiza y asume fundadamente los principios y valores que emanan del proceso de integración europea, la Constitución española y los derechos humanos y de la infancia, participando en actividades comunitarias, como la toma de decisiones o la resolución de conflictos, con actitud democrática, respeto por la diversidad, y compromiso con la igualdad de género, la cohesión social, el desarrollo sostenible y el logro de la ciudadanía mundial.",kc-cc,,,,,,
OD,od-cc3,CC3,"Comprende y analiza problemas éticos fundamentales y de actualidad, considerando críticamente los valores propios y ajenos, y desarrollando juicios propios para afrontar la controversia moral con actitud dialogante, argumentativa, respetuosa y opuesta a cualquier tipo de discriminación o violencia.",kc-cc,,,,,,
OD,od-cd1,CD1,"Realiza búsquedas en Internet atendiendo a criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y archivándolos, para recuperarlos, referenciarlos y reutilizarlos, respetando la propiedad intelectual.",kc-cd,,,,,,
