type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9
KC,kc-cc,CC,Competencia ciudadana,,,,,,,,,
KC,kc-ccec,CCEC,Competencia en Conciencia y Expresión Culturales,,,,,,,,,
KC,kc-ccl,CCL,Competencia en Comunicación Lingüística,,,,,,,,,
KC,kc-cd,CD,Competencia digital,,,,,,,,,
KC,kc-ce,CE,Competencia Emprendedora,,,,,,,,,
KC,kc-cpsaa,CPSAA,"Competencia Personal, Social y de Aprender a Aprender",,,,,,,,,
OD,od-ccl3,CCL3,"Localiza, selecciona y contrasta de manera autónoma información procedente de diferentes fuentes evaluando su fiabilidad y pertinencia en función de los objetivos de lectura y evitando los riesgos de manipulación y desinformación, y la integra y transforma en conocimiento para comunicarla de manera clara y rigurosa adoptando un punto de vista creativo y crítico a la par que respetuoso con la propiedad intelectual.",kc-ccl,,,,,,,,
OD,od-cpsaa4,CPSAA4,"Compara, analiza, evalúa y sintetiza datos, información e ideas de los medios de comunicación, para obtener conclusiones lógicas de forma autónoma, valorando la fiabilidad de las fuentes.",kc-cpsaa,,,,,,,,
OD,od-cc1,CC1,"Analiza hechos, normas e ideas relativas a la dimensión social, histórica, cívica y moral de su propia identidad, para contribuir a la consolidación de su madurez personal y social, adquirir una conciencia ciudadana y responsable, desarrollar la autonomía y el espíritu crítico, y establecer una interacción pacífica y respetuosa con otras personas y con el entorno.",kc-cc,,,,,,,,
OD,od-cc3,CC3,"Adopta un juicio propio y argumentado ante problemas éticos y filosóficos fundamentales y de actualidad, afrontando con actitud dialogante la pluralidad de valores, creencias e ideas, rechazando todo tipo de discriminación y violencia, y promoviendo activamente la igualdad y corresponsabilidad efectiva entre mujeres y hombres.",kc-cc,,,,,,,,
OD,od-ccec1,CCEC1,"Reflexiona, promueve y valora críticamente el patrimonio cultural y artístico de cualquier época, contrastando sus singularidades y partiendo de su propia identidad, para defender la libertad de expresión, la igualdad y el enriquecimiento inherente a la diversidad.",kc-ccec,,,,,,,,
OD,od-ccec3.2,CCEC3.2,"Descubre la autoexpresión, a través de la interactuación corporal y la experimentación con diferentes herramientas y lenguajes artísticos, enfrentándose a situaciones creativas con una actitud empática y colaborativa, y con autoestima, iniciativa e imaginación.",kc-ccec,,,,,,,,
OD,od-ccl1,CCL1,"Se expresa de forma oral, escrita, signada o multimodal con fluidez, coherencia, corrección y adecuación a los diferentes contextos sociales y académicos, y participa en interacciones comunicativas con actitud cooperativa y respetuosa tanto para intercambiar información, crear conocimiento y argumentar sus opiniones como para establecer y cuidar sus relaciones interpersonales.",kc-ccl,,,,,,,,
OD,od-ccl5,CCL5,"Pone sus prácticas comunicativas al servicio de la convivencia democrática, la resolución dialogada de los conflictos y la igualdad de derechos de todas las personas, evitando y rechazando los usos discriminatorios, así como los abusos de poder, para favorecer la utilización no solo eficaz sino también ética de los diferentes sistemas de comunicación.",kc-ccl,,,,,,,,
OD,od-cd1,CD1,"Realiza búsquedas avanzadas comprendiendo cómo funcionan los motores de búsqueda en internet aplicando criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y organizando el almacenamiento de la información de manera adecuada y segura para referenciarla y reutilizarla posteriormente.",kc-cd,,,,,,,,
OD,od-cpsaa1.2,CPSAA1.2,"Desarrolla una personalidad autónoma, gestionando constructivamente los cambios, la participación social y su propia actividad para dirigir su vida.",kc-cpsaa,,,,,,,,
