type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8
KC,kc-cc,CC,Competencia ciudadana,,,,,,,,
KC,kc-ccec,CCEC,Competencia en Conciencia y Expresión Culturales,,,,,,,,
KC,kc-ccl,CCL,Competencia en Comunicación Lingüística,,,,,,,,
KC,kc-cd,CD,Competencia digital,,,,,,,,
KC,kc-ce,CE,Competencia Emprendedora,,,,,,,,
KC,kc-cpsaa,CPSAA,"Competencia Personal, Social y de Aprender a Aprender",,,,,,,,
KC,kc-stem,STEM,"Competencia Matemática y Competencia en Ciencia, Tecnología e Ingeniería",,,,,,,,
OD,od-ccl1,CCL1,"Se expresa de forma oral, escrita, signada o multimodal con fluidez, coherencia, corrección y adecuación a los diferentes contextos sociales y académicos, y participa en interacciones comunicativas con actitud cooperativa y respetuosa tanto para intercambiar información, crear conocimiento y argumentar sus opiniones como para establecer y cuidar sus relaciones interpersonales.",kc-ccl,,,,,,,
OD,od-ccl2,CCL2,"Comprende, interpreta y valora con actitud crítica textos orales, escritos, signados o multimodales de los distintos ámbitos, con especial énfasis en los textos académicos y de los medios de comunicación, para participar en diferentes contextos de manera activa e informada y para construir conocimiento.",kc-ccl,,,,,,,
OD,od-ccl3,CCL3,"Localiza, selecciona y contrasta de manera autónoma información procedente de diferentes fuentes evaluando su fiabilidad y pertinencia en función de los objetivos de lectura y evitando los riesgos de manipulación y desinformación, y la integra y transforma en conocimiento para comunicarla de manera clara y rigurosa adoptando un punto de vista creativo y crítico a la par que respetuoso con la propiedad intelectual.",kc-ccl,,,,,,,
OD,od-cd1,CD1,"Realiza búsquedas avanzadas comprendiendo cómo funcionan los motores de búsqueda en internet aplicando criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y organizando el almacenamiento de la información de manera adecuada y segura para referenciarla y reutilizarla posteriormente.",kc-cd,,,,,,,
OD,od-cd3,CD3,"Selecciona, configura y utiliza dispositivos digitales, herramientas, aplicaciones y servicios en línea y los incorpora en su entorno personal de aprendizaje digital para comunicarse, trabajar colaborativamente y compartir información, gestionando de manera responsable sus acciones, presencia y visibilidad en la red y ejerciendo una ciudadanía digital activa, cívica y reflexiva.",kc-cd,,,,,,,
OD,od-cpsaa4,CPSAA4,"Compara, analiza, evalúa y sintetiza datos, información e ideas de los medios de comunicación, para obtener conclusiones lógicas de forma autónoma, valorando la fiabilidad de las fuentes.",kc-cpsaa,,,,,,,
OD,od-cc3,CC3,"Adopta un juicio propio y argumentado ante problemas éticos y filosóficos fundamentales y de actualidad, afrontando con actitud dialogante la pluralidad de valores, creencias e ideas, rechazando todo tipo de discriminación y violencia, y promoviendo activamente la igualdad y corresponsabilidad efectiva entre mujeres y hombres.",kc-cc,,,,,,,
OD,od-ce3,CE3,"Lleva a cabo el proceso de creación de ideas y soluciones innovadoras y toma decisiones, con sentido crítico y ético, aplicando conocimientos técnicos específicos y estrategias ágiles de planificación y gestión de proyectos, y reflexiona sobre el proceso realizado y el resultado obtenido, para elaborar un prototipo final de valor para el resto de las personas, considerando tanto la experiencia de éxito como de fracaso, una oportunidad para aprender.",kc-ce,,,,,,,
OD,od-ccl5,CCL5,"Pone sus prácticas comunicativas al servicio de la convivencia democrática, la resolución dialogada de los conflictos y la igualdad de derechos de todas las personas, evitando y rechazando los usos discriminatorios, así como los abusos de poder, para favorecer la utilización no solo eficaz sino también ética de los diferentes sistemas de comunicación.",kc-ccl,,,,,,,
