type,id,code,description,link1,link2,link3,link4,link5,link6,link7
KC,kc-cc,CC,Competencia ciudadana,,,,,,,
KC,kc-ccec,CCEC,Competencia en Conciencia y Expresión Culturales,,,,,,,
KC,kc-ccl,CCL,Competencia en comunicación lingüística,,,,,,,
KC,kc-cd,CD,Competencia digital,,,,,,,
KC,kc-ce,CE,Competencia Emprendedora,,,,,,,
KC,kc-cp,CP,Competencia Plurilingüe,,,,,,,
KC,kc-stem,STEM,"Competencia Matemática y Competencia en Ciencia, Tecnología e Ingeniería",,,,,,,
OD,od-ccl2,CCL2,"Comprende, interpreta y valora con actitud crítica textos orales, escritos, signados o multimodales de los ámbitos personal, social, educativo y profesional para participar en diferentes contextos de manera activa e informada y para construir conocimiento.",kc-ccl,,,,,,
OD,od-cp2,CP2,"A partir de sus experiencias, realiza transferencias entre distintas lenguas como estrategia para comunicarse y ampliar su repertorio lingüístico individual.",kc-cp,,,,,,
OD,od-cp3,CP3,"Conoce, valora y respeta la diversidad lingüística y cultural presente en la sociedad, integrándola en su desarrollo personal como factor de diálogo, para fomentar la cohesión social.",kc-cp,,,,,,
OD,od-cc1,CC1,"Analiza y comprende ideas relativas a la dimensión social y ciudadana de su propia identidad, así como a los hechos culturales, históricos y normativos que la determinan, demostrando respeto por las normas, empatía, equidad y espíritu constructivo en la interacción con los demás en cualquier contexto.",kc-cc,,,,,,
OD,od-ccec1,CCEC1,"Conoce, aprecia críticamente y respeta el patrimonio cultural y artístico, implicándose en su conservación y valorando el enriquecimiento inherente a la diversidad cultural y artística.",kc-ccec,,,,,,
OD,od-stem1,STEM1,"Utiliza métodos inductivos y deductivos propios del razonamiento matemático en situaciones conocidas, y selecciona y emplea diferentes estrategias para resolver problemas analizando críticamente las soluciones y reformulando el procedimiento, si fuera necesario.",kc-stem,,,,,,
OD,od-ce3,CE3,"Desarrolla el proceso de creación de ideas y soluciones valiosas y toma decisiones, de manera razonada, utilizando estrategias ágiles de planificación y gestión, y reflexiona sobre el proceso realizado y el resultado obtenido, para llevar a término el proceso de creación de prototipos innovadores y de valor, considerando la experiencia como una oportunidad para aprender.",kc-ce,,,,,,
OD,od-cd2,CD2,"Gestiona y utiliza su entorno personal digital de aprendizaje para construir conocimiento y crear contenidos digitales, mediante estrategias de tratamiento de la información y el uso de diferentes herramientas digitales, seleccionando y configurando la más adecuada en función de la tarea y de sus necesidades de aprendizaje permanente.",kc-cd,,,,,,
OD,od-cd1,CD1,"Realiza búsquedas en Internet atendiendo a criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y archivándolos, para recuperarlos, referenciarlos y reutilizarlos, respetando la propiedad intelectual.",kc-cd,,,,,,
OD,od-cd3,CD3,"Se comunica, participa, colabora e interactúa compartiendo contenidos, datos e información mediante herramientas o plataformas virtuales, y gestiona de manera responsable sus acciones, presencia y visibilidad en la red, para ejercer una ciudadanía digital activa, cívica y reflexiva.",kc-cd,,,,,,
OD,od-cc4,CC4,"Comprende las relaciones sistémicas de interdependencia, ecodependencia e interconexión entre actuaciones locales y globales, y adopta, de forma consciente y motivada, un estilo de vida sostenible y ecosocialmente responsable.",kc-cc,,,,,,
OD,od-ccec2,CCEC2,"Disfruta, reconoce y analiza con autonomía las especificidades e intencionalidades de las manifestaciones artísticas y culturales más destacadas del patrimonio, distinguiendo los medios y soportes, así como los lenguajes y elementos técnicos que las caracterizan.",kc-ccec,,,,,,
